product,description
"""Amazon Basics 30% Recycled Multipurpose Copy Printer Paper - 8.5 x 11 Inches, 3 Ream Case (1500 Sheets)""","""3 reams of letter-size 30% recycled multipurpose copy paper (1,500 sheets total) Works with laser/inkjet printers, copiers, and fax machines High-quality 20-pound weight for economical printing and resistance to paper jams Bright white for better contrast; 92 GE brightness Acid-free for long-lasting strength; made in the USA from imported materials; measures 8.5 by 11 inches"""
"""Original HP 63XL Black High-yield Ink Cartridge | Works with HP DeskJet 1112, 2130, 3630 Series; HP ENVY 4510, 4520 Series; HP OfficeJet 3830, 4650, 5200 Series | Eligible for Instant Ink | F6U64AN""","""Make sure this fits by entering your model number.
Original HP Ink is engineered to work with HP printers to provide consistent quality, reliability and value This cartridge works with: HP DeskJet 1112, 2130, 2132, 3630, 3631, 3632, 3633, 3634, 3636, 3637, 3639; HP ENVY 4511, 4512, 4513, 4516, 4520, 4522, 4524; HP OfficeJet 3830, 3831, 3833, 3836, 4650, 4652, 4654, 4655, 5212, 5222, 5230, 5232, 5255, 5260, 5264 Cartridge yield (approx.): 480 pages Up to 2x more prints with Original HP Ink vs. non-Original HP Ink 82% of HP ink cartridges are manufactured with recycled plastic Get ink your way: buy Original HP Ink Cartridges or save up to 50% and never run out with HP Instant Ink, the Smart Ink Subscription What's in the box: 1 new Original HP 63XL Black High-yield Ink Cartridge (F6U64AN) CHOOSE AN INK REPLENISHMENT SERVICE - Let your printer track usage and have ink delivered before you run out. Either reorder HP Genuine ink cartridges only when you need them through Amazon Dash Replenishment, or save up to 50 percent by paying for pages printed through HP Instant Ink"""
"""Sharpie Permanent Marker, Fine Point, Black, Pack of 5""","""Proudly permanent ink marks on paper, plastic, metal, and most other surfaces Intensely brilliant colors create eye popping, vibrant impressions Remarkably resilient ink dries quickly and resists fading and water; AP certified Endlessly versatile fine point is perfect for countless uses in the classroom, office, home, and beyond Colorful options: Includes 5 Black Sharpie permanent markers"""
"""Amazon Basics Narrow Ruled 5 x 8-Inch Writing Pad - Canary (50 Sheet Paper Pads, 12 pack)""","""12-pack of 50-page white writing tablets Narrow ruled paper (1/4-inch spacing between lines) for people with smaller handwriting or when you want more on a single page 16-pound paper for everyday use Perforated top ensures easy removal of sheets Measures 5 by 8 inches"""
"""Scotch Heavy Duty Packaging Tape, 1.88"" x 22.2 yd, Designed for Packing, Shipping and Mailing, Strong Seal on All Box Types, 1.5"" Core, Clear, 6 Rolls with Dispenser (142-6)""","""Guaranteed to stay sealed (If your box does not stay sealed, 3M will refund the purchase price of this tape). Proof of purchase required. Provides excellent holding power for heavy-duty packaging and shipping Strong seal on all box types, including harder-to-stick-to 100% recycled boxes Strong, durable solvent-free hot melt adhesive seals and protects Release coating makes unwind easy. Resists slivering, splitting and tearing..Includes 6 rolls with 6 dispensers with fallback tabs to ensure tape doesn't fall back on the roll.Scotch brand's strongest clear-to-the-core packaging tape.Clear backing and instant adhesion.Meets U.S. postal regulations for standard packages.Made in USA with US and globally sourced materials"""
"""Blue Sky 2022 Weekly & Monthly Planner, 5"" x 8"", Flexible Cover, Wirebound, Enterprise (131791)""","""January 2022 - December 2022 stylish day planner with 12 months of monthly and weekly pages for easy year-round planning; 6 additional monthly pages (July 2021 - December 2021) are included Monthly view pages contain previous and next month reference calendars for long-term planning, and a notes section for important projects; Major holidays listed, elapsed and remaining days noted Weekly view pages offer ample lined writing space for more detailed planning, allowing you to keep track of your appointments, reminders, ideas and to-do lists every day of the week Yearly calendar planner includes a convenient list of holidays, reference calendars, contacts pages and extra notes pages to accommodate your scheduling needs and keep you organized Printed on high quality white paper for clean writing space, with premium quality covers in a professional design and durable, coated tabs that withstand constant use throughout the year"""
"""Scotch Thermal Laminating Pouches, 100-Pack, 8.9 x 11.4 Inches, Letter Size Sheets (TP3854-100)""","""8.9 inch x 11.4 inch for letter size documents 100 per package Great for signs, schedules, certificates, kids artwork, and more Ideal for marker-proof, tear-proof and spill-proof paper items that you want to last"""
"""Amazon Basics 6-Sheet Cross-Cut Paper and Credit Card Home Office Shredder""","""6 sheet crosscut paper/credit card shredder Auto Start and overheat protection Thermal Protection to prevent overheating manual reverse to clear paper jams shreds credit cards; small paper clips; staples Important Note: Do not spray or keep any aerosol products in or around the shredder and do not shred items like metallic credit cards"""
"""Pendaflex File Folders, Letter Size, 8-1/2"" x 11"", Classic Manila, 1/3-Cut Tabs in Left, Right, Center Positions, 100 Per Box (65213)""","""TRIED AND TRUE: Pendaflex Standard Manila File Folders slip seamlessly into many existing filing systems and are easy to label, easy to read and easy to replace 1/3-CUT TABS IN ASSORTED POSITIONS are staggered from left to right for perfect visibility in your vertical or lateral file cabinet LETTER-SIZE FOLDERS fit standard 8-1/2"" x 11"" documents; get 100 manila folders per box to use alone or with hanging file folders STOCK-UP SHOP & DONE: This never-out necessity comes with 100 letter-size file folders per box and makes re-orders quick and convenient WAVE GOODBYE TO CLUTTER: Several boxes and a good filing plan put you on your way to a clear desk and wide open spaces PROUDLY MADE IN THE USA"""
"""AT-A-GLANCE 2020 Desk Calendar, Desk Pad, 21-3/4"" x 17"", Standard, Ruled Blocks (SK2400)""","""YEAR-ROUND PLANNING - Desk pad covers 12 months from January 2020-December 2020 with Julian dates. Keep track of important deadlines, special events and more with clear organization. INK BLEED RESISTANCE - Plan your schedule without fear of distracting ink bleeding. Our improved, high-quality paper is designed for superior ink bleed resistance, which keeps plans neat and legible. MONTHLY OVERVIEW - Great for long term planning, each month features ruled daily blocks, space for notes and a full year of reference calendar blocks. Pages measure 21-3/4"" x 17"". ENHANCED ORGANIZATION - Expand your organizational skills with special features, including a perforated pages, 2 black corner protectors and holes for optional wall hanging."""
